Gene name	Max score_0	Label_0	top_stat_0	Max score_1	Label_1	top_stat_1	Max score_2	Label_2	top_stat_2	Max score_3	Label_3	top_stat_3	Max score_4	Label_4	top_stat_4	Label
ABCC3_ENST00000427699	0.5390754260807301	TSG	0	0.5429191498157016	OG	0	0.5935761144978802	OG	0	0.6340425531914893	OG	0	0.6697733989780698	OG	0	Unlabelled
ABCC4	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.5355680182604953	OG	0	Unlabelled
ABCC4_ENST00000376887	0.6144050078619246	TSG	0	0.5644463783639042	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.5762380029715167	TSG	0	Unlabelled
ABCC5	0.5055260204383011	TSG	0	0.5664603595638079	TSG	0	0.5379607106000295	TSG	0	0.8340019619118493	TSG	0	0.6545869070997409	OG	0	Unlabelled
ABCC5_ENST00000382494	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	0	Unlabelled
ABCC6	0.5450769080716041	OG	0	0.5429191498157016	OG	0	0.6475443684661342	OG	0	0.6340425531914893	OG	0	0.6352906403573803	OG	0	Unlabelled
ABCC8	0.5714473303112239	TSG	0	0.7055555555555555	OG	0	0.5527237270312656	OG	0	0.8373860182370821	TSG	0	0.5174725613634915	TSG	0	Unlabelled
ABCC9	0.6049967359536529	TSG	0	0.5329191498157015	OG	0	0.5671350117409879	OG	0	0.8373860182370821	TSG	0	0.5051554037928645	TSG	0	Unlabelled
ABCC9_ENST00000261201	0.6049967359536529	TSG	0	0.5717475168509651	TSG	0	0.5671350117409879	OG	0	0.8373860182370821	TSG	0	0.5194690017108866	TSG	0	Unlabelled
ABCD1	0.5532247525981863	OG	0	0.5203065134099617	TSG	0	0.5379607106000295	TSG	0	0.6680445151033386	TSG	0	0.6990515169001038	OG	1	OG
ABCD2	0.6368954678478488	OG	0	0.5203065134099617	TSG	0	0.6919289645682835	TSG	0	0.501377848436672	TSG	0	0.6990515169001038	OG	1	OG
